i,Date,Price,Open,High,Low,Vol.,Change %,u_i^2,sigma_i^2,#NAME?
187,03/07/2023,2.72,2.74,2.77,2.71,849.61M,-1.13%,0.00012769,0.00007844,2.477522369
188,03/06/2023,2.75,2.78,2.78,2.74,671.58M,-1.08%,0.00011664,0.00007864,2.62112198
189,03/03/2023,2.78,2.79,2.79,2.76,510.58M,0.00%,0,0.00007822,4.106668675
190,03/02/2023,2.78,2.77,2.79,2.77,491.16M,0.00%,0,0.00007781,4.108960472
191,03/01/2023,2.78,2.74,2.79,2.74,1.08B,1.13%,0.00012769,0.00007807,2.471961371
192,02/28/2023,2.75,2.74,2.75,2.71,574.73M,0.48%,0.00002304,0.00007779,3.812902615
193,02/27/2023,2.73,2.72,2.74,2.72,375.35M,0.00%,0,0.00007738,4.11135877
194,02/24/2023,2.74,2.77,2.77,2.73,584.59M,-1.37%,0.00018769,0.00007795,1.700379232
195,02/23/2023,2.77,2.78,2.8,2.76,549.27M,0.00%,0,0.00007755,4.110412167
196,02/22/2023,2.78,2.8,2.81,2.77,906.88M,-1.32%,0.00017424,0.00007804,1.875082668
197,02/21/2023,2.81,2.8,2.82,2.79,1.26B,0.50%,0.000025,0.00007778,3.787719745
198,02/20/2023,2.8,2.73,2.8,2.72,1.62B,2.83%,0.00080089,0.00008143,-5.746423817
199,02/17/2023,2.72,2.74,2.77,2.72,828.62M,-1.05%,0.00011025,0.00008157,2.736892853
200,02/16/2023,2.75,2.76,2.8,2.73,928.41M,-0.36%,0.00001296,0.00008123,3.930739964
201,02/15/2023,2.76,2.79,2.79,2.76,462.92M,-0.93%,0.00008649,0.00008126,3.025724451
202,02/14/2023,2.79,2.78,2.79,2.77,369.81M,0.40%,0.000016,0.00008093,3.894182519
203,02/13/2023,2.78,2.75,2.78,2.74,691.45M,0.65%,0.00004225,0.00008074,3.569628375
204,02/10/2023,2.76,2.76,2.77,2.75,447.07M,-0.43%,0.00001849,0.00008044,3.864676267
205,02/09/2023,2.77,2.74,2.78,2.73,741.94M,1.06%,0.00011236,0.00008059,2.699526764
206,02/08/2023,2.74,2.75,2.77,2.74,411.61M,-0.25%,0.00000625,0.00008023,4.017756567
207,02/07/2023,2.75,2.75,2.76,2.74,538.59M,0.29%,0.00000841,0.00007988,3.992261311
208,02/06/2023,2.74,2.76,2.76,2.72,802.64M,-1.58%,0.00024964,0.0000807,0.999708257
209,02/03/2023,2.78,2.81,2.82,2.76,718.60M,-1.45%,0.00021025,0.00008132,1.504345394
210,02/02/2023,2.82,2.84,2.84,2.81,605.07M,-0.21%,0.00000441,0.00008095,4.037286083
211,02/01/2023,2.83,2.83,2.83,2.79,880.15M,0.39%,0.00001521,0.00008064,3.904825901
212,01/31/2023,2.82,2.85,2.87,2.81,1.00B,-1.05%,0.00011025,0.00008078,2.727902577
213,01/30/2023,2.85,2.9,2.9,2.84,722.23M,0.00%,0,0.0000804,4.094728482
214,01/20/2023,2.85,2.84,2.86,2.83,515.34M,0.67%,0.00004489,0.00008024,3.536157609
215,01/19/2023,2.83,2.81,2.83,2.79,1.06B,0.35%,0.00001225,0.00007992,3.944063793
216,01/18/2023,2.82,2.84,2.85,2.82,437.41M,-0.67%,0.00004489,0.00007976,3.535399027
217,01/17/2023,2.84,2.85,2.85,2.82,774.54M,-0.32%,0.00001024,0.00007944,3.971065535
218,01/16/2023,2.85,2.8,2.88,2.8,1.49B,1.71%,0.00029241,0.00008042,0.458404695
219,01/13/2023,2.8,2.76,2.8,2.76,621.15M,1.63%,0.00026569,0.00008126,0.820533066
220,01/12/2023,2.75,2.76,2.76,2.74,376.00M,0.22%,0.00000484,0.00008091,4.032160996
221,01/11/2023,2.75,2.75,2.77,2.74,550.12M,0.22%,0.00000484,0.00008057,4.033756961
222,01/10/2023,2.74,2.75,2.76,2.74,370.40M,-0.29%,0.00000841,0.00008024,3.9907802
223,01/09/2023,2.75,2.73,2.76,2.73,576.70M,0.92%,0.00008464,0.00008026,3.040960434
224,01/06/2023,2.72,2.71,2.73,2.71,520.73M,0.55%,0.00003025,0.00008004,3.718756259
225,01/05/2023,2.71,2.68,2.71,2.68,767.35M,1.88%,0.00035344,0.00008126,-0.259564999
226,01/04/2023,2.66,2.65,2.67,2.65,681.15M,0.34%,0.00001156,0.00008095,3.948987551
227,01/03/2023,2.65,2.64,2.66,2.62,699.41M,0.00%,0,0.00008059,4.093713384
228,12/30/2022,2.65,2.65,2.66,2.64,573.21M,0.53%,0.00002809,0.00008036,3.74540727
229,12/29/2022,2.63,2.63,2.64,2.61,652.94M,-0.53%,0.00002809,0.00008013,3.745646908
230,12/28/2022,2.65,2.64,2.66,2.63,711.61M,0.26%,0.00000676,0.00007981,4.013226288
231,12/27/2022,2.64,2.64,2.65,2.63,731.29M,1.15%,0.00013225,0.00008004,2.444401316
232,12/26/2022,2.61,2.62,2.63,2.61,462.34M,-0.38%,0.00001444,0.00007976,3.917178979
233,12/23/2022,2.62,2.61,2.64,2.61,767.83M,-0.27%,0.00000729,0.00007945,4.008164525
234,12/22/2022,2.63,2.63,2.65,2.61,584.07M,0.65%,0.00004225,0.00007929,3.567924687
235,12/21/2022,2.61,2.61,2.62,2.61,548.69M,0.00%,0,0.00007895,4.102645993
236,12/20/2022,2.61,2.64,2.65,2.59,814.02M,-1.73%,0.00029929,0.00007988,0.350981986
237,12/19/2022,2.65,2.7,2.7,2.64,793.18M,-1.49%,0.00022201,0.00008048,1.335844484
238,12/16/2022,2.69,2.67,2.7,2.67,550.50M,0.41%,0.00001681,0.00008022,3.886179431
239,12/15/2022,2.68,2.69,2.71,2.67,540.08M,-0.52%,0.00002704,0.00007999,3.758917667
240,12/14/2022,2.7,2.68,2.7,2.67,704.45M,0.63%,0.00003969,0.00007983,3.600648978
241,12/13/2022,2.68,2.68,2.69,2.67,355.16M,0.00%,0,0.00007949,4.09966302
242,12/12/2022,2.68,2.69,2.7,2.67,483.17M,-1.18%,0.00013924,0.00007974,2.352171134
